config,layer,neuron,mean_activation,std_activation
classical_control,pre_layer_encoding,0,0.2733385853082969,0.2132617605782751
classical_control,pre_layer_encoding,1,0.16695903898042933,0.5134113904037141
classical_control,pre_layer_encoding,2,0.3078529616334977,0.2907521170961277
classical_control,pre_layer_encoding,3,0.16679646526802,0.25361462353094943
classical_control,post_quantum_layer,0,0.2733385853082969,0.2132617605782751
classical_control,post_quantum_layer,1,0.16695903898042933,0.5134113904037141
classical_control,post_quantum_layer,2,0.3078529616334977,0.2907521170961277
classical_control,post_quantum_layer,3,0.16679646526802,0.25361462353094943
classical_control,output,0,0.031375614500320136,0.1394638041789609
q3_r1,pre_layer_encoding,0,0.2989891153719665,0.18684694665692234
q3_r1,pre_layer_encoding,1,0.7637855493318405,0.8049776261508869
q3_r1,pre_layer_encoding,2,-0.22466378101369297,0.5343728430186808
q3_r1,post_quantum_layer,0,0.45203573926850255,0.43398490266281076
q3_r1,post_quantum_layer,1,0.4321947729109246,0.4694100068388722
q3_r1,post_quantum_layer,2,0.4284493873220772,0.4072650824596642
q3_r1,output,0,0.10074126233858113,0.20887212636207547
q3_r2,pre_layer_encoding,0,0.3496034557482943,0.21765284703862217
q3_r2,pre_layer_encoding,1,-0.6305571169264096,0.7838575685893471
q3_r2,pre_layer_encoding,2,0.6676544406913643,0.5708445137563446
q3_r2,post_quantum_layer,0,0.30428123720905487,0.45160202326782295
q3_r2,post_quantum_layer,1,0.2873994201431044,0.24807674136728117
q3_r2,post_quantum_layer,2,0.13961856302727813,0.45996976559556507
q3_r2,output,0,0.05381347795430455,0.2789600733791344
q3_r3,pre_layer_encoding,0,-0.44987214756631716,0.15251866576394177
q3_r3,pre_layer_encoding,1,0.3447123082396881,0.7210809841878932
q3_r3,pre_layer_encoding,2,0.44476942596812263,0.21021122007566062
q3_r3,post_quantum_layer,0,0.14410497609093564,0.4725464890495879
q3_r3,post_quantum_layer,1,0.49105746871254263,0.11124278649940389
q3_r3,post_quantum_layer,2,0.19223921954450948,0.4584052433182132
q3_r3,output,0,0.08269378929774146,0.28554880981442393
q3_r5,pre_layer_encoding,0,-0.030955449155582904,0.32045504162994637
q3_r5,pre_layer_encoding,1,0.5302004193005202,0.6431100443901651
q3_r5,pre_layer_encoding,2,0.18547009850375354,0.15540215070364255
q3_r5,post_quantum_layer,0,0.19020227771377812,0.29418215780970264
q3_r5,post_quantum_layer,1,0.5385161698655654,0.13034993156234168
q3_r5,post_quantum_layer,2,-0.002515923082837923,0.6320895964492873
q3_r5,output,0,0.13097401256313287,0.2838117684961799
q4_r1,pre_layer_encoding,0,0.2476077303508287,0.17975371456054448
q4_r1,pre_layer_encoding,1,0.7548383080812051,0.7226537872581912
q4_r1,pre_layer_encoding,2,-0.165628783864565,0.43678957299832827
q4_r1,pre_layer_encoding,3,0.08050391587354085,0.0835524380169308
q4_r1,post_quantum_layer,0,0.463117860121856,0.4216890509470878
q4_r1,post_quantum_layer,1,0.47394304528069964,0.4572583673586283
q4_r1,post_quantum_layer,2,0.4571457974814722,0.414750822198539
q4_r1,post_quantum_layer,3,0.4508204309445898,0.4098739224549299
q4_r1,output,0,0.08574345691858307,0.1814882738488574
q4_r2,pre_layer_encoding,0,0.36645771797816873,0.12642868423531764
q4_r2,pre_layer_encoding,1,0.6142284098264694,0.8470327295304145
q4_r2,pre_layer_encoding,2,0.46756099511979043,0.2621134769249523
q4_r2,pre_layer_encoding,3,0.22529752495258193,0.06781405046541406
q4_r2,post_quantum_layer,0,0.17548683443647559,0.40264251035045184
q4_r2,post_quantum_layer,1,0.29157819159903053,0.25127618305935484
q4_r2,post_quantum_layer,2,0.18861416202582038,0.38718771211765635
q4_r2,post_quantum_layer,3,0.2448545646629424,0.2627053770407605
q4_r2,output,0,0.09877743961543108,0.27020384551045173
q4_r3,pre_layer_encoding,0,-0.2779768559026277,0.1915965192762148
q4_r3,pre_layer_encoding,1,-0.5326210056399918,0.8212730501562602
q4_r3,pre_layer_encoding,2,0.42509752775288995,0.42891716864503454
q4_r3,pre_layer_encoding,3,-0.016948828486664506,0.11162392735865498
q4_r3,post_quantum_layer,0,0.2599201419633577,0.5134815259543477
q4_r3,post_quantum_layer,1,0.42471613657005236,0.36671361177657513
q4_r3,post_quantum_layer,2,0.32752803107257755,0.4639933576625296
q4_r3,post_quantum_layer,3,0.5220253545305965,0.3601574215249373
q4_r3,output,0,0.07158624937978773,0.28498671403552606
q4_r5,pre_layer_encoding,0,-0.009591544733691197,0.12097022797893665
q4_r5,pre_layer_encoding,1,-0.2222675659675781,0.6055139281214956
q4_r5,pre_layer_encoding,2,0.4982165475846185,0.2710662170996554
q4_r5,pre_layer_encoding,3,0.2328583379043749,0.13243326042981887
q4_r5,post_quantum_layer,0,0.20926181800284965,0.3687191656116336
q4_r5,post_quantum_layer,1,0.310803171517112,0.3447798820195683
q4_r5,post_quantum_layer,2,0.18401033998743743,0.2228179388831079
q4_r5,post_quantum_layer,3,0.3676604114262689,0.24006147553342586
q4_r5,output,0,0.05802281403961897,0.22474873561858588
q5_r1,pre_layer_encoding,0,0.43318320984944747,0.5410365845982538
q5_r1,pre_layer_encoding,1,0.6864972764797314,0.976016921392232
q5_r1,pre_layer_encoding,2,0.14161307071408033,0.34944738441922923
q5_r1,pre_layer_encoding,3,0.17918989198772056,0.12255692834420082
q5_r1,pre_layer_encoding,4,-0.02216595353207088,0.08423513263160552
q5_r1,post_quantum_layer,0,0.28421104593787716,0.4935213015867714
q5_r1,post_quantum_layer,1,0.4138482058295032,0.4532700160232253
q5_r1,post_quantum_layer,2,0.3660857526753678,0.40707854154933093
q5_r1,post_quantum_layer,3,0.3358592173588324,0.38019591787990653
q5_r1,post_quantum_layer,4,0.3352711192842455,0.37913389791672203
q5_r1,output,0,0.1200986366551555,0.23489551802995232
q5_r2,pre_layer_encoding,0,-0.030390078281972602,0.1942806905003239
q5_r2,pre_layer_encoding,1,0.31561454135732303,0.6163594767380806
q5_r2,pre_layer_encoding,2,0.24042341385483962,0.2089857012294113
q5_r2,pre_layer_encoding,3,0.1975871877281532,0.1261337437025266
q5_r2,pre_layer_encoding,4,0.5091588430083624,0.5500553894324903
q5_r2,post_quantum_layer,0,0.38068104414594023,0.245916953529194
q5_r2,post_quantum_layer,1,0.4810235662247227,0.2625211787846991
q5_r2,post_quantum_layer,2,0.3719830748335287,0.2671761868838015
q5_r2,post_quantum_layer,3,0.4133998283783509,0.1968743705776387
q5_r2,post_quantum_layer,4,0.30415731745601104,0.2709118997808412
q5_r2,output,0,0.13952618198831712,0.13973642134474248
q5_r3,pre_layer_encoding,0,0.22485386768394477,0.19008579754868365
q5_r3,pre_layer_encoding,1,-0.573285348907407,0.7847083205469342
q5_r3,pre_layer_encoding,2,0.4107258596160151,0.439194113218286
q5_r3,pre_layer_encoding,3,0.3852098908254451,0.032540703689433424
q5_r3,pre_layer_encoding,4,0.15728049695546634,0.08753435855626751
q5_r3,post_quantum_layer,0,0.2704141341627113,0.2936520030981424
q5_r3,post_quantum_layer,1,0.17391312554287885,0.34356913513767634
q5_r3,post_quantum_layer,2,0.21622094505573064,0.39260388888340914
q5_r3,post_quantum_layer,3,0.3143087192625612,0.23824881450252094
q5_r3,post_quantum_layer,4,0.05621536078933133,0.38533930085990253
q5_r3,output,0,0.06771963080474885,0.2816955380047452
q5_r5,pre_layer_encoding,0,0.03879370101158237,0.22216468121746
q5_r5,pre_layer_encoding,1,-0.4491712090012051,0.7771154126880848
q5_r5,pre_layer_encoding,2,-0.12686285295748514,0.1460378887606455
q5_r5,pre_layer_encoding,3,0.3139824361254271,0.19809616473537695
q5_r5,pre_layer_encoding,4,0.3524104049242376,0.060329665893878136
q5_r5,post_quantum_layer,0,0.1430359212088982,0.19160843187949156
q5_r5,post_quantum_layer,1,0.24031201150547457,0.3510298868267494
q5_r5,post_quantum_layer,2,0.2709586754267369,0.34640886945794597
q5_r5,post_quantum_layer,3,0.19822845163669275,0.42824453053898254
q5_r5,post_quantum_layer,4,0.17865344831719907,0.2844777283267339
q5_r5,output,0,-0.07081908829886632,0.29226743905879216
