model,config,layer,across_neuron_variance,mean_pairwise_correlation
classical,classical_control,pre_layer_encoding,0.0039754457769001295,-0.03628436106375645
classical,classical_control,post_quantum_layer,0.0039754457769001295,-0.03628436106375645
quantum,q3_r1,pre_layer_encoding,0.16303112884171547,-0.2789601166020608
quantum,q3_r1,post_quantum_layer,0.00010711198415025855,0.9911051811982522
quantum,q3_r2,pre_layer_encoding,0.3052471583979586,-0.288309745070073
quantum,q3_r2,post_quantum_layer,0.00547088597178116,0.9058315318540909
quantum,q3_r3,pre_layer_encoding,0.16019549214586956,-0.3299469682249239
quantum,q3_r3,post_quantum_layer,0.02355392039611588,0.4277667789141837
quantum,q3_r5,pre_layer_encoding,0.05339721338433429,-0.26183975271894283
quantum,q3_r5,post_quantum_layer,0.05013095533159349,0.8234687900221065
quantum,q4_r1,pre_layer_encoding,0.11365867538924951,0.023949305256583422
quantum,q4_r1,post_quantum_layer,7.255562621655188e-05,0.9962692270445754
quantum,q4_r2,pre_layer_encoding,0.02018803382536038,-0.03402262789959309
quantum,q4_r2,post_quantum_layer,0.0021505677201909363,0.667955509436247
quantum,q4_r3,pre_layer_encoding,0.12536502672522826,-0.016671037184042684
quantum,q4_r3,post_quantum_layer,0.009823219346609123,0.869286433535061
quantum,q4_r5,pre_layer_encoding,0.07240837624525691,-0.08241016046096598
quantum,q4_r5,post_quantum_layer,0.005567182163179791,0.6165849390489636
quantum,q5_r1,pre_layer_encoding,0.061851181797105546,-0.0825346142915914
quantum,q5_r1,post_quantum_layer,0.0018074139696367477,0.9834728059738651
quantum,q5_r2,pre_layer_encoding,0.030572797788185092,0.3142686333167288
quantum,q5_r2,post_quantum_layer,0.00332259006651041,0.9192188941475183
quantum,q5_r3,pre_layer_encoding,0.12957639537496848,0.03888242223439144
quantum,q5_r3,post_quantum_layer,0.00788984055260269,0.8806695157559069
quantum,q5_r5,pre_layer_encoding,0.08775918015301751,-0.1079233313829302
quantum,q5_r5,post_quantum_layer,0.002033873441473,0.8891426324064499
