config,n_qubits,same_observable_means,same_observable_spread,mixed_observable_means,mixed_observable_spread
q3_r1,3,0.452036;0.432195;0.428449,0.010349491975467131,0.452036;-0.333696;-0.000014,0.3219845414115446
q3_r2,3,0.304281;0.287399;0.139619,0.07396543768396939,0.304281;0.118373;-0.023442,0.13419551373406383
q3_r3,3,0.144105;0.491057;0.192239,0.15347286534145338,0.144105;-0.050132;0.014807,0.0807350178259073
q3_r5,3,0.190202;0.538516;-0.002516,0.22389943128912473,0.190202;0.241098;0.013264,0.09764227671314954
q4_r1,4,0.463118;0.473943;0.457146;0.450820,0.008517959040553781,0.463118;-0.231641;0.000258;0.450820,0.297869225437239
q4_r2,4,0.175487;0.291578;0.188614;0.244855,0.04637421395766117,0.175487;-0.032263;0.016481;0.244855,0.11307623291383007
q4_r3,4,0.259920;0.424716;0.327528;0.522025,0.09911215539281305,0.259920;0.013293;0.017248;0.522025,0.20946934044314083
q4_r5,4,0.209262;0.310803;0.184010;0.367660,0.07461355214154994,0.209262;0.226862;0.002466;0.367660,0.13031419429739916
q5_r1,5,0.284211;0.413848;0.366086;0.335859;0.335271,0.0425136915550361,0.284211;-0.073240;0.002621;0.335859;0.026356,0.16329850907498902
q5_r2,5,0.380681;0.481024;0.371983;0.413400;0.304157,0.057641912411980314,0.380681;0.167659;0.010997;0.413400;0.062761,0.1634232216714332
q5_r3,5,0.270414;0.173913;0.216221;0.314309;0.056215,0.08882477443035074,0.270414;0.036818;-0.006929;0.314309;0.071115,0.1298694024327106
q5_r5,5,0.143036;0.240312;0.270959;0.198228;0.178653,0.04509848602196087,0.143036;0.102428;-0.005834;0.198228;0.238385,0.08443430687337015
