n_qubits,n_reuploads,t,required_bandwidth_x,max_frequency_x_effective,expressivity_sufficient
3,1,0.1,1.0,0.2518191354773717,False
3,1,0.3,3.0,0.2518191354773717,False
3,1,0.5,11.0,0.2518191354773717,False
3,1,0.7,11.5,0.2518191354773717,False
3,1,0.9,11.0,0.2518191354773717,False
3,2,0.1,1.0,0.5036382709547434,False
3,2,0.3,3.0,0.5036382709547434,False
3,2,0.5,11.0,0.5036382709547434,False
3,2,0.7,11.5,0.5036382709547434,False
3,2,0.9,11.0,0.5036382709547434,False
3,3,0.1,1.0,0.7554574064321151,False
3,3,0.3,3.0,0.7554574064321151,False
3,3,0.5,11.0,0.7554574064321151,False
3,3,0.7,11.5,0.7554574064321151,False
3,3,0.9,11.0,0.7554574064321151,False
3,5,0.1,1.0,1.2590956773868587,True
3,5,0.3,3.0,1.2590956773868587,False
3,5,0.5,11.0,1.2590956773868587,False
3,5,0.7,11.5,1.2590956773868587,False
3,5,0.9,11.0,1.2590956773868587,False
4,1,0.1,1.0,0.21098628889205634,False
4,1,0.3,3.0,0.21098628889205634,False
4,1,0.5,11.0,0.21098628889205634,False
4,1,0.7,11.5,0.21098628889205634,False
4,1,0.9,11.0,0.21098628889205634,False
4,2,0.1,1.0,0.4219725777841127,False
4,2,0.3,3.0,0.4219725777841127,False
4,2,0.5,11.0,0.4219725777841127,False
4,2,0.7,11.5,0.4219725777841127,False
4,2,0.9,11.0,0.4219725777841127,False
4,3,0.1,1.0,0.632958866676169,False
4,3,0.3,3.0,0.632958866676169,False
4,3,0.5,11.0,0.632958866676169,False
4,3,0.7,11.5,0.632958866676169,False
4,3,0.9,11.0,0.632958866676169,False
4,5,0.1,1.0,1.0549314444602818,True
4,5,0.3,3.0,1.0549314444602818,False
4,5,0.5,11.0,1.0549314444602818,False
4,5,0.7,11.5,1.0549314444602818,False
4,5,0.9,11.0,1.0549314444602818,False
5,1,0.1,1.0,0.24658685973398975,False
5,1,0.3,3.0,0.24658685973398975,False
5,1,0.5,11.0,0.24658685973398975,False
5,1,0.7,11.5,0.24658685973398975,False
5,1,0.9,11.0,0.24658685973398975,False
5,2,0.1,1.0,0.4931737194679795,False
5,2,0.3,3.0,0.4931737194679795,False
5,2,0.5,11.0,0.4931737194679795,False
5,2,0.7,11.5,0.4931737194679795,False
5,2,0.9,11.0,0.4931737194679795,False
5,3,0.1,1.0,0.7397605792019692,False
5,3,0.3,3.0,0.7397605792019692,False
5,3,0.5,11.0,0.7397605792019692,False
5,3,0.7,11.5,0.7397605792019692,False
5,3,0.9,11.0,0.7397605792019692,False
5,5,0.1,1.0,1.2329342986699487,True
5,5,0.3,3.0,1.2329342986699487,False
5,5,0.5,11.0,1.2329342986699487,False
5,5,0.7,11.5,1.2329342986699487,False
5,5,0.9,11.0,1.2329342986699487,False
