n_qubits,n_reuploads,model,state,seed,n_params,fisher_entropy_rank,fisher_top_eig,fisher_trace,n_eigs_above_1e-12,rank_utilisation,effective_dimension,normalised_effective_dimension,n_inits_averaged
3,1,main,random_init,0,19,1.0826181710793767,3.393175795704457,3.439135198349766,15,0.05697990374101983,3.682670067362138,0.19382474038748096,4
3,2,main,random_init,0,25,1.2076869794870688,3.4742555534594874,3.61809846140083,19,0.048307479179482755,4.000499282693165,0.1600199713077266,4
3,3,main,random_init,0,31,1.0555473164230478,3.7102481878662785,3.740443597831115,15,0.03404991343300154,5.712732745318175,0.1842817014618766,4
3,5,main,random_init,0,43,1.2710447643863512,3.3652282612571747,3.537974197292352,23,0.029559180567124445,6.70836182837406,0.15600841461335024,4
4,1,main,random_init,0,25,1.0926815896956703,4.498916598555043,4.56473813420393,17,0.04370726358782681,3.2251591951748537,0.12900636780699415,4
4,2,main,random_init,0,33,1.0541857675114235,4.200250341889536,4.234293415290409,18,0.03194502325792192,4.8142893294662,0.14588755543836968,4
4,3,main,random_init,0,41,1.1321004643811208,3.732887115529734,3.8148526456269987,21,0.02761220644832002,5.268165671472096,0.12849184564566088,4
4,5,main,random_init,0,57,1.7303609899539343,3.458278075834061,4.040689865837658,27,0.03035721035006902,7.277730956681003,0.12767949046808777,4
5,1,main,random_init,0,31,1.0431786910678975,5.0643023865663395,5.095954809158232,18,0.033650925518319275,4.0814628774483985,0.1316600928209161,4
5,2,main,random_init,0,41,1.1901125112916038,4.9426461661217935,5.1125669301967385,22,0.029027134421746432,5.932158013949783,0.14468678082804348,4
5,3,main,random_init,0,51,1.3038207178031442,4.759523296631382,5.029592015265075,25,0.02556511211378714,6.610509103508821,0.12961782555899648,4
5,5,main,random_init,0,71,1.3673214951576045,3.673600803328468,3.9389703503966613,31,0.019258049227571895,7.788852611236315,0.1097021494540326,4
