config,seed,n_qubits,n_reuploads,mean_pairwise_correlation,effective_rank
q3_r1,0,3,1,0.9912550646719928,1.3974258018576016
q3_r2,0,3,2,0.9142311029150284,2.038470971908405
q3_r3,0,3,3,0.3980364956176547,2.8525957368343984
q3_r5,0,3,5,0.9212840429686171,2.493555299707219
q4_r1,0,4,1,0.9965071793641883,1.2694761517527489
q4_r2,0,4,2,0.8215438412529582,1.947772306267321
q4_r3,0,4,3,0.7777933533422353,2.6053357575367806
q4_r5,0,4,5,0.8771127640367412,2.694254359418213
q5_r1,0,5,1,0.979530710635913,1.7847378304157346
q5_r2,0,5,2,0.948779156782737,2.0410029980321442
q5_r3,0,5,3,0.8764865060919675,2.6969006957995685
q5_r5,0,5,5,0.9375867070262209,2.491742850832354
q3_r1,1,3,1,0.9880392803205486,1.5082731157904945
q3_r2,1,3,2,0.956318933522193,2.1515634629118883
q3_r3,1,3,3,0.9703401686708082,2.0460679569538254
q3_r5,1,3,5,0.6296875423635445,2.6098486733784974
q4_r1,1,4,1,0.9910928088451404,1.4039929982037764
q4_r2,1,4,2,0.9213638309983829,2.29854030799248
q4_r3,1,4,3,0.8465408605471733,2.650842966343855
q4_r5,1,4,5,0.840555143608047,2.6826855413001742
q5_r1,1,5,1,0.9209192013068032,2.079414408823338
q5_r2,1,5,2,0.8387153230300827,2.126210906504816
q5_r3,1,5,3,0.8472159462115773,2.8281220364954076
q5_r5,1,5,5,0.9004670497862879,2.61316490189562
