active_layers,l2_error
,1.605904196678038
0,1.0598637920603908
1,1.095409721970208
2,1.0082016468936168
3,1.0559757581530178
4,1.0359054490739006
0;1,0.9902968429368937
0;2,0.8870745493550407
0;3,0.9094855389628197
0;4,0.8858990020203523
1;2,0.8841700448764346
1;3,0.9027408685107128
1;4,0.8841336692241014
2;3,0.8827987480002855
2;4,0.8587927239043914
3;4,0.9283773002512096
0;1;2,0.8338852461632289
0;1;3,0.8138361079331585
0;1;4,0.8146330541894037
0;2;3,0.7610747428830424
0;2;4,0.7551519053720929
0;3;4,0.7952019965699435
1;2;3,0.7963062210087742
1;2;4,0.7870508559230813
1;3;4,0.8249068714629856
2;3;4,0.7761390599684597
0;1;2;3,0.817027240524919
0;1;2;4,0.8165433104390414
0;1;3;4,0.8207429230855503
0;2;3;4,0.7458388986688738
1;2;3;4,0.7361463116577102
0;1;2;3;4,0.5943868653104416
