n_qubits,n_reuploads,seed,l2_error,pde_residual_error,final_train_loss,train_time_sec,param_count,peak_memory_mb
3,1,0,0.8219280119934429,0.0044316785519163595,0.17188778510514843,281.5547287464142,19,241.42578125
3,1,1,0.8982109157816981,0.0009165138889748304,0.1859079139525628,202.2990107536316,19,243.11328125
3,1,2,0.9890790775037855,0.00019735821761310464,0.20216462449322373,198.13626194000244,19,243.13671875
3,2,0,0.6406949329408537,0.026658458860020655,0.11198047541691225,361.01127529144287,25,296.58203125
3,2,1,0.6337892959837076,0.028922924300240314,0.1178448800516753,360.2187571525574,25,296.58203125
3,2,2,0.8938825353476283,0.008300023982990339,0.16355318514748152,363.4505171775818,25,296.58203125
3,3,0,0.64930457731047,0.02689553568421161,0.11185577386547932,532.0825097560883,31,345.12109375
3,3,1,0.6397784748548921,0.029221008025581075,0.09786194419324129,531.2126998901367,31,345.12109375
3,3,2,0.9613782587745183,0.0036156450847025555,0.19916794321829545,528.861328125,31,345.70703125
3,5,0,0.6938127907742282,0.028132339623626223,0.09301339531282249,854.0838108062744,43,450.640625
3,5,1,0.6638086118474951,0.020052311849018636,0.10544614927140317,866.1114325523376,43,451.1171875
3,5,2,0.7894213147730457,0.006904610487135334,0.1229888553966257,854.1658201217651,43,451.53125
4,1,0,0.8508629605679613,0.003569304419920403,0.17929555356116247,260.91938042640686,25,451.53125
4,1,1,0.8462862948782802,0.00825909453705901,0.19488527109209275,259.6677508354187,25,451.53125
4,1,2,0.9047007803158954,0.006775562353210489,0.15887101921542215,260.47077083587646,25,451.53125
4,2,0,0.6738744126067774,0.029858953620237775,0.12401587688802168,483.6483805179596,33,451.53125
4,2,1,0.632602666016952,0.028741451435885194,0.09817492935971886,483.9865343570709,33,451.53125
4,2,2,0.8048177722838695,0.005498161022921222,0.15006082095622775,484.66479682922363,33,451.53125
4,3,0,0.6343172355492469,0.026133182124925717,0.10784238488400086,712.112774848938,41,451.53125
4,3,1,0.6712885311845561,0.02078282179906984,0.10126840719711383,706.339287519455,41,451.53125
4,3,2,0.6777187652478849,0.019082296705270382,0.09280919744197762,718.6085021495819,41,451.53125
4,5,0,0.706947896427917,0.02653459627797978,0.13734512616837802,1139.698110818863,57,554.20703125
4,5,1,0.6175570202985863,0.02608842961774595,0.09545244947433656,1141.8534264564514,57,554.20703125
4,5,2,0.6357646560504675,0.028436413450316625,0.09975090523183175,1140.434639930725,57,554.2734375
5,1,0,0.7593544772393663,0.011038882267136625,0.12679111997008888,329.38922667503357,31,554.2734375
5,1,1,0.7753374073546274,0.009907315824350952,0.14041859078293856,327.867817401886,31,554.2734375
5,1,2,0.9534612671011636,0.0009395380394214413,0.19398842334291036,328.62130880355835,31,554.2734375
5,2,0,0.8683385894343973,0.004520409950595131,0.16791949898602415,609.9546813964844,41,554.2734375
5,2,1,0.6678603277892871,0.022651989035463234,0.10098128471767365,608.9634459018707,41,554.2734375
5,2,2,0.7414016243821879,0.010570853286283665,0.11490213526711981,610.5511174201965,41,554.2734375
5,3,0,0.6325392512118995,0.029834980338392842,0.102772310835713,886.25630235672,51,554.2734375
5,3,1,0.6744789479056243,0.019084116949242183,0.10427934520495821,895.9338691234589,51,554.2734375
5,3,2,0.6726740555505262,0.021860796948000596,0.10077604772048462,895.7477495670319,51,554.2734375
5,5,0,0.6245276235992602,0.035853677793967254,0.09068981461010388,1446.42680478096,71,653.21875
5,5,1,0.6516991301734302,0.023785708498413712,0.09281922039432589,1444.0376605987549,71,653.21875
5,5,2,0.6522778341483754,0.02597224728931404,0.1127315581544297,1443.139020204544,71,653.21875
